time               , latitude          , longitude, mod_points , alt_points        , uwnd         , vwnd          , hs         , fp         , dir          , dp            , phs0       , phs1       , phs2       , ptp0      , ptp1      , ptp2      , pdir0        , pdir1          , pdir2         , wind_speed
2025-01-01 06:00:00,  7.0              ,     134.8, 1.7980087  , 1.8704050450832477, -7.8825765   , -0.55609065   , 1.7980087  , 0.12626305 ,  64.47656    ,  53.31848     , 1.5316397  , 0.9248105  ,            ,  7.4987774,  9.049763 ,           ,  81.95337    ,  13.6727295    ,               ,  7.90216736657543
2025-01-01 06:00:00, 16.6              ,     134.8, 1.8464386  , 1.699858253614544 , -5.568615    , -0.5068083    , 1.8464386  , 0.12791702 ,  85.93463    ,  85.05249     ,            , 1.7911888  , 0.40908742 ,           ,  7.8434687,  6.770098 ,              ,  89.419556     ,   5.256714    ,  5.591630144347343
2025-01-01 06:00:00,  8.0              ,     135.0, 1.8850775  , 2.0142833764314227, -8.15        , -1.4200013    , 1.8850775  , 0.12871014 ,  67.62677    ,  56.79712     , 1.6570001  , 0.87930083 ,            ,  7.4645944,  9.024801 ,           ,  81.40527    ,  14.759918     ,               ,  8.272780892299862
2025-01-01 06:00:00, 20.6              ,     133.2, 2.020755   , 2.650010267185652 , -7.4760942   , -4.180111     , 2.020755   , 0.12246883 ,  78.95532    , 107.14661     , 1.375485   , 1.4684532  ,            ,  5.2449765,  8.18525  ,           ,  40.00055    , 106.935974     ,               ,  8.565355360963995
2025-01-01 06:00:00, 17.0              ,     134.8, 1.8343204  , 1.715             , -5.339091    , -0.60407144   , 1.8343204  , 0.12778035 ,  87.912415   ,  87.147156    ,            , 1.7814777  , 0.39986324 ,           ,  7.8506513,  6.6392455,              ,  91.27844      ,   4.7860413   ,  5.373155033209509
2025-01-01 06:00:00, 19.4              ,     133.8, 1.8385311  , 2.046             , -7.4451632   , -3.5233324    , 1.8385311  , 0.12467657 ,  92.48346    ,  99.90265     , 1.8061451  , 0.30320707 ,            ,  8.035513 ,  6.239303 ,           ,  94.49164    , 357.48944      ,               ,  8.23676673674349
2025-01-01 06:00:00, 19.6              ,     133.6, 1.8937323  , 2.2279926360701507, -7.6396465   , -3.6725955    , 1.8937323  , 0.12411673 ,  89.108154   , 100.76822     , 1.8859005  ,            ,            ,  8.0569315,           ,           ,  89.34338    ,                ,               ,  8.476565126959297
2025-01-01 06:00:00, 22.6              ,     132.4, 2.0045264  , 1.8377606360236305, -6.5011854   , -4.8955064    , 2.0045264  , 0.12635969 ,  45.23419    ,  55.26532     , 1.0448828  , 1.2551345  , 1.1477548  ,  4.736902 ,  7.099063 ,  8.437307 ,  50.008118   , 346.26813      , 113.55438     ,  8.138267292096895
2025-01-01 06:00:00, 22.2              ,     132.4, 2.0830588  , 1.81550005        , -7.043629    , -5.1772203    , 2.0830588  , 0.1274549  ,  51.79883    ,  70.215454    , 1.0897242  , 1.2883607  , 1.2066692  ,  5.185006 ,  6.908661 ,  8.404454 ,  58.104797   , 351.87085      , 111.73004     ,  8.741642838984735
2025-01-01 06:00:00,  5.4              ,     134.6, 1.4297353  , 1.59              , -3.087631    , 1.4662166     , 1.4297353  , 0.12612598 ,  56.48889    ,  57.72943     ,            , 1.2308351  , 0.7237221  ,           ,  7.6119504,  9.157132 ,              ,  71.7887       ,   8.804657    ,  3.4180778677901063
2025-01-01 06:00:00, 21.6              ,     132.8, 2.1515207  , 2.185140234228854 , -7.2315726   , -6.361036     , 2.1515207  , 0.12307539 ,  59.641174   , 107.35065     , 1.4543929  , 1.2764287  , 0.92210245 ,  5.323205 ,  8.331692 ,  6.6589093,  46.244385   , 110.28693      , 345.48895     ,  9.631117342363074
2025-01-01 06:00:00, 23.4              ,     132.0, 1.8462981  , 1.747112216628808 , -5.4006286   , -4.353014     , 1.8462981  , 0.12391599 ,  34.62152    ,  40.518738    , 0.7083864  , 1.3339263  , 1.0492883  ,  4.339193 ,  7.14796  ,  8.498329 ,  55.85034    , 346.71143      , 115.73291     ,  6.93653516961703
